Unnamed: 0,type_estate,district,price_per_sqm,posted_date,area,price,legal_document,interior,num_bedrooms,num_bathrooms,num_floors,entrance,frontage
244,3,8,,13/05/2024,190.0,Thỏa thuận,139,146,6,6,4,12.181061122472167,6.78865638058502
245,4,4,~725 triệu/m²,13/05/2024,200.0,145 tỷ,252,146,4,14,8,15.0,27.0
247,5,1,"~244,44 triệu/m²",13/05/2024,45.0,11 tỷ,178,146,6,6,5,12.181061122472167,3.4
248,5,10,"~90,62 triệu/m²",13/05/2024,48.0,"4,35 tỷ",252,392,4,3,4,12.181061122472167,6.78865638058502
249,4,11,"~436,11 triệu/m²",11/05/2024,180.0,"78,5 tỷ",252,146,4,5,4,17.0,11.0
250,5,17,"~12,69 triệu/m²",13/05/2024,670.0,"8,5 tỷ",252,146,6,6,4,12.181061122472167,6.78865638058502
251,4,12,"~333,33 triệu/m²",08/05/2024,96.0,32 tỷ,251,146,6,9,5,17.0,6.9
252,5,12,"~343,53 triệu/m²",10/05/2024,85.0,"29,2 tỷ",252,294,60,8,5,17.0,5.0
253,5,12,"~224,39 triệu/m²",06/05/2024,82.0,"18,4 tỷ",252,294,6,8,5,13.0,4.5
254,4,11,~304 triệu/m²,05/05/2024,125.0,38 tỷ,252,114,8,8,8,40.0,15.0
255,3,5,"~153,33 triệu/m²",10/05/2024,150.0,23 tỷ,252,146,6,6,4,12.181061122472167,6.78865638058502
256,5,27,"~186,22 triệu/m²",08/05/2024,45.0,"8,38 tỷ",252,146,6,6,5,12.181061122472167,4.5
257,5,24,"~152,38 triệu/m²",10/05/2024,84.0,"12,8 tỷ",252,42,3,2,2,4.0,7.0
258,5,7,"~209,8 triệu/m²",13/05/2024,51.0,"10,7 tỷ",252,294,12,10,6,3.0,5.0
259,3,10,"~159,29 triệu/m²",06/05/2024,266.8,"42,5 tỷ",252,146,6,6,4,12.0,11.6
260,3,11,~248 triệu/m²,13/05/2024,100.0,"24,8 tỷ",252,294,5,4,5,18.0,18.0
261,6,2,"~44,16 tỷ",13/05/2024,184.0,240 triệu/m²,263,133,7,6,5,40.0,8.0
262,4,11,"~270,67 triệu/m²",12/05/2024,75.0,"20,3 tỷ",252,146,8,6,6,20.0,5.0
263,4,9,"~1,05 tỷ/m²",12/05/2024,135.0,142 tỷ,252,42,6,6,10,12.181061122472167,6.78865638058502
264,3,14,"~278,21 triệu/m²",12/05/2024,190.5,53 tỷ,252,146,4,3,4,12.181061122472167,8.0
265,5,17,"~12,69 triệu/m²",13/05/2024,670.0,"8,5 tỷ",252,146,6,6,4,12.181061122472167,6.78865638058502
266,4,27,"~666,67 triệu/m²",12/05/2024,540.0,360 tỷ,252,294,20,10,8,30.0,20.3
267,5,21,"~170,91 triệu/m²",12/05/2024,110.0,"18,8 tỷ",178,132,30,30,8,5.0,8.0
268,3,5,"~140,26 triệu/m²",09/05/2024,192.5,27 tỷ,139,146,6,6,4,12.181061122472167,6.78865638058502
270,6,6,"~109,38 triệu/m²",07/05/2024,96.0,"10,5 tỷ",252,294,4,5,4,8.0,4.0
271,5,10,,12/05/2024,41.0,Thỏa thuận,253,146,3,4,5,12.181061122472167,8.0
272,5,27,"~217,14 triệu/m²",12/05/2024,35.0,"7,6 tỷ",252,294,3,4,6,12.181061122472167,4.0
273,3,5,~24 tỷ,12/05/2024,1.0,24 triệu/m²,252,294,6,6,1,5.0,25.0
274,3,10,"~10,66 tỷ",12/05/2024,82.0,130 triệu/m²,251,84,6,5,5,21.0,6.0
277,3,14,"~279,61 triệu/m²",12/05/2024,204.0,"57,04 tỷ",139,146,6,6,4,12.181061122472167,6.78865638058502
278,3,5,"~140,62 triệu/m²",08/05/2024,192.0,27 tỷ,260,53,5,4,3,12.181061122472167,6.78865638058502
279,5,27,~190 triệu/m²,12/05/2024,100.0,19 tỷ,252,294,6,4,5,10.0,5.1
280,3,10,"~163,83 triệu/m²",12/05/2024,235.0,"38,5 tỷ",253,62,5,2,3,12.181061122472167,6.78865638058502
